,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,I, J, Lat, Lon,Depth_nnw115i0,Depth_nnw115i2,Depth_nw115i0,Depth_nw115i2,Depth_avg,Depth_max
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.56964224,98.02885851,99.9,99.9,99.9,99.9,99.9,99.9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,27.56622825,98.02855246,99.9,99.9,99.9,99.9,99.9,99.9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,27.56275973,98.02824155,99.9,99.9,99.9,99.9,99.9,99.9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,27.55923579,98.0279257,99.9,99.9,99.9,99.9,99.9,99.9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,27.55565555,98.02760481,99.9,99.9,99.9,99.9,99.9,99.9
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1,27.5520181,98.02727883,99.9,99.9,99.9,99.9,99.9,99.9
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,27.54832255,98.02694766,99.9,99.9,99.9,99.9,99.9,99.9
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,1,27.54456795,98.02661122,99.9,99.9,99.9,99.9,99.9,99.9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,1,27.54075336,98.02626944,99.9,99.9,99.9,99.9,99.9,99.9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,1,27.53687783,98.02592222,99.9,99.9,99.9,99.9,99.9,99.9
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,1,27.53294039,98.02556948,99.9,99.9,99.9,99.9,99.9,99.9
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,1,27.52894003,98.02521113,99.9,99.9,99.9,99.9,99.9,99.9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,1,27.52487576,98.02484708,99.9,99.9,99.9,99.9,99.9,99.9
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,1,27.52074656,98.02447725,99.9,99.9,99.9,99.9,99.9,99.9
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,1,27.51655139,98.02410154,99.9,99.9,99.9,99.9,99.9,99.9
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,1,27.51228919,98.02371986,99.9,99.9,99.9,99.9,99.9,99.9
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,1,27.5079589,98.02333212,99.9,99.9,99.9,99.9,99.9,99.9
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,1,27.50355942,98.02293821,99.9,99.9,99.9,99.9,99.9,99.9
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,1,27.49908965,98.02253804,99.9,99.9,99.9,99.9,99.9,99.9
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,1,27.49454847,98.02213152,99.9,99.9,99.9,99.9,99.9,99.9
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,1,27.48993474,98.02171854,99.9,99.9,99.9,99.9,99.9,99.9
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,1,27.48524729,98.02129899,99.9,99.9,99.9,99.9,99.9,99.9
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,1,27.48048495,98.02087279,99.9,99.9,99.9,99.9,99.9,99.9
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,1,27.47564653,98.02043981,99.9,99.9,99.9,99.9,99.9,99.9
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,1,27.4707308,98.01999996,99.9,99.9,99.9,99.9,99.9,99.9
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,1,27.46573654,98.01955313,99.9,99.9,99.9,99.9,99.9,99.9
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,1,27.46066248,98.0190992,99.9,99.9,99.9,99.9,99.9,99.9
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,1,27.45550735,98.01863807,99.9,99.9,99.9,99.9,99.9,99.9
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,1,27.45026987,98.01816961,99.9,99.9,99.9,99.9,99.9,99.9
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,1,27.4449487,98.01769372,99.9,99.9,99.9,99.9,99.9,99.9
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,1,27.43954251,98.01721028,99.9,99.9,99.9,99.9,99.9,99.9
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,1,27.43404996,98.01671916,99.9,99.9,99.9,99.9,99.9,99.9
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,1,27.42846964,98.01622025,99.9,99.9,99.9,99.9,99.9,99.9
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,1,27.42280017,98.01571343,99.9,99.9,99.9,99.9,99.9,99.9
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,1,27.41704012,98.01519857,99.9,99.9,99.9,99.9,99.9,99.9
